Altitude,ax,ay,az
1527.11,-1.87,-0.17,8.94
1527.49,-1.88,-0.19,8.98
1527.11,-1.89,-0.25,9.01
1527.49,-1.84,-0.22,8.92
1527.87,-1.96,-0.23,9.10
1527.30,-1.93,-0.21,9.04
1527.11,-1.86,-0.23,9.00
1527.30,-1.83,-0.25,8.99
1527.68,-1.85,-0.22,9.00
1527.20,-1.90,-0.21,8.93
1527.11,-1.88,-0.20,9.05
1527.39,-1.90,-0.16,9.00
1527.87,-1.82,-0.20,9.06
1527.39,-1.86,-0.20,9.02
1527.49,-1.84,-0.21,9.05
1527.49,-1.89,-0.26,9.02
1527.77,-1.87,-0.27,9.01
1527.30,-1.97,-0.26,9.02
1527.77,-1.90,-0.21,9.00
1527.87,-1.83,-0.23,9.00
1527.49,-1.91,-0.26,8.99
1527.11,-1.78,-0.25,8.97
1527.77,-1.92,-0.24,9.00
1527.39,-1.93,-0.22,9.08
1527.97,-1.88,-0.28,9.02
1527.97,-1.91,-0.24,9.13
1527.39,-1.87,-0.18,8.99
1527.97,-1.89,-0.24,8.98
1527.77,-1.93,-0.29,8.99
1527.68,-1.87,-0.20,9.07
1527.30,-1.92,-0.23,8.99
1527.77,-1.83,-0.21,9.01
1527.68,-1.89,-0.31,9.07
1528.06,-1.89,-0.25,9.07
1527.11,-1.90,-0.20,9.09
1527.30,-1.87,-0.19,9.03
1526.63,-1.94,-0.19,9.05
1527.01,-1.90,-0.20,9.02
1527.49,-1.90,-0.25,9.03
1527.30,-1.81,-0.29,9.13
1527.39,-1.85,-0.26,8.96
1527.87,-1.89,-0.22,9.09
1528.25,-1.89,-0.22,9.05
1527.77,-1.85,-0.21,8.92
1527.30,-1.88,-0.23,9.10
1527.11,-1.88,-0.20,9.00
1527.77,-1.89,-0.17,9.06
1527.68,-1.86,-0.22,9.03
1527.30,-1.89,-0.25,8.97
1527.77,-1.85,-0.21,9.07
1527.39,-1.92,-0.27,9.07
1527.39,-1.83,-0.21,9.02
1526.63,-1.87,-0.18,9.04
1526.72,-1.87,-0.23,9.02
1527.30,-1.92,-0.20,9.04
1527.58,-1.92,-0.23,8.95
1527.58,-1.92,-0.25,9.00
1527.39,-1.90,-0.18,8.99
1527.58,-1.92,-0.22,9.00
1527.77,-1.86,-0.20,9.06
1527.20,-1.87,-0.17,8.98
1527.01,-1.86,-0.22,9.02
1527.68,-1.86,-0.20,8.99
1527.11,-1.91,-0.24,9.00
1527.49,-1.88,-0.20,8.95
1527.97,-1.90,-0.23,8.96
1527.01,-1.85,-0.17,8.96
1527.11,-1.89,-0.19,9.00
1527.97,-1.99,-0.23,8.94
1527.97,-2.01,-0.26,9.00
1528.44,-1.70,-0.13,9.02
1527.77,-1.78,-0.23,9.06
1528.06,-1.85,-0.23,9.08
1527.20,-1.92,-0.24,9.08
1527.87,-2.02,-0.27,8.99
1527.68,-1.97,-0.24,8.99
1527.77,-1.82,-0.21,9.00
1527.68,-1.78,-0.16,9.08
1527.68,-1.88,-0.19,9.00
1527.49,-1.83,-0.18,8.98
1528.06,-1.87,-0.26,8.91
1527.97,-1.90,-0.20,9.03
1527.97,-1.87,-0.25,9.09
1528.25,-1.77,-0.23,8.97
1527.87,-1.86,-0.22,9.06
1528.16,-1.90,-0.26,9.03
1527.97,-1.91,-0.19,9.03
1527.87,-1.84,-0.21,9.03
1527.87,-1.86,-0.17,9.09
1527.39,-1.87,-0.26,9.00
1527.77,-1.89,-0.23,8.98
1527.68,-1.86,-0.27,9.01
1527.97,-1.87,-0.23,9.08
1527.58,-1.90,-0.19,9.11
1527.58,-1.93,-0.22,9.00
1527.97,-1.92,-0.22,9.11
1527.97,-1.86,-0.19,9.00
1527.68,-1.80,-0.20,9.02
1527.20,-1.91,-0.26,9.05
1527.68,-1.87,-0.20,9.05
1527.49,-1.91,-0.21,8.95
1527.30,-1.92,-0.22,9.01
1527.97,-1.87,-0.21,9.09
1527.68,-1.87,-0.19,9.04
1527.58,-1.88,-0.26,8.96
1527.58,-1.94,-0.18,8.99
1527.58,-1.89,-0.22,8.93
1527.39,-1.88,-0.27,9.11
1527.77,-1.88,-0.23,9.06
1527.68,-1.92,-0.28,9.05
1527.77,-1.93,-0.16,8.94
1527.49,-1.88,-0.23,9.02
1527.77,-1.90,-0.23,8.98
1527.97,-1.83,-0.26,9.10
1527.49,-1.84,-0.21,9.07
1527.30,-1.86,-0.23,8.98
1527.68,-1.94,-0.27,9.03
1527.58,-1.87,-0.25,8.98
1527.87,-1.89,-0.18,9.10
1527.58,-1.85,-0.22,8.99
1527.58,-1.88,-0.19,9.00
1527.68,-1.86,-0.22,9.02
1527.97,-1.85,-0.25,8.98
1528.25,-1.87,-0.22,8.96
1527.68,-1.88,-0.24,9.06
1527.97,-1.87,-0.24,8.96
1527.97,-1.89,-0.22,9.04
1527.68,-1.85,-0.25,9.05
1527.68,-1.92,-0.23,8.97
1527.77,-1.89,-0.23,8.98
1528.06,-1.89,-0.18,9.05
1527.87,-1.92,-0.23,9.05
1527.58,-1.87,-0.21,8.96
1527.58,-1.93,-0.23,9.02
1527.20,-1.86,-0.19,8.97
1527.30,-1.89,-0.15,8.99
1527.77,-1.82,-0.17,8.92
1527.87,-1.82,-0.22,9.09
1527.87,-1.94,-0.17,9.09
1527.97,-1.92,-0.22,8.97
1527.77,-1.90,-0.23,9.06
1527.97,-1.90,-0.27,8.94
1527.77,-1.84,-0.19,9.12
1527.49,-1.86,-0.23,9.07
1528.06,-1.88,-0.22,9.01
1528.06,-1.89,-0.23,8.99
1528.44,-1.90,-0.18,9.06
1527.87,-1.98,-0.23,9.00
1528.06,-1.89,-0.18,9.05
1527.30,-1.95,-0.18,9.08
1527.20,-1.87,-0.21,9.00
1527.30,-1.95,-0.20,8.97
1527.30,-1.86,-0.24,9.01
1527.58,-1.88,-0.20,9.06
1527.87,-1.92,-0.14,9.06
1527.58,-1.87,-0.25,9.05
1527.77,-1.85,-0.24,8.99
1527.58,-1.92,-0.24,9.00
1527.58,-1.88,-0.20,8.98
1527.68,-1.79,-0.17,8.95
1527.77,-1.87,-0.21,9.05
1528.06,-1.84,-0.21,9.12
1528.35,-1.84,-0.22,8.97
1527.68,-1.96,-0.23,9.03
1527.68,-1.94,-0.19,9.03
1528.06,-1.89,-0.26,9.03
1528.44,-1.86,-0.18,9.01
1528.06,-1.87,-0.27,9.08
1527.87,-1.91,-0.22,9.05
1527.77,-1.95,-0.21,9.02
1527.97,-1.96,-0.23,9.01
1527.39,-1.84,-0.19,9.09
1527.39,-1.84,-0.20,9.17
1528.06,-1.85,-0.19,9.05
1527.97,-1.95,-0.20,9.04
1527.77,-1.92,-0.27,9.11
1527.77,-1.86,-0.22,9.09
1527.39,-1.84,-0.22,8.95
1527.87,-1.87,-0.24,8.98
1527.68,-1.85,-0.23,8.99
1527.68,-1.92,-0.20,9.10
1527.58,-1.80,-0.26,8.99
1527.49,-1.87,-0.15,8.92
1527.87,-1.89,-0.17,9.09
1528.06,-1.91,-0.26,9.07
1528.25,-1.84,-0.25,9.12
1527.97,-1.86,-0.20,9.07
1528.35,-1.91,-0.25,9.05
1527.87,-1.87,-0.16,9.00
1527.97,-1.87,-0.27,9.04
1527.58,-1.91,-0.22,9.04
1528.06,-1.81,-0.25,9.01
1527.87,-1.86,-0.21,8.98
1527.87,-1.78,-0.19,9.04
1527.77,-1.90,-0.24,9.00
1527.77,-1.94,-0.23,9.08
Altitude,ax,ay,az
Altitude,ax,ay,az
Altitude,ax,ay,az
1533.32,-1.89,-0.19,9.01
1533.99,-1.86,-0.16,9.04
1533.99,-1.9,-0.21,9.01
1533.71,-1.89,-0.2,9.07
1533.8,-1.91,-0.22,9.04
1533.52,-1.87,-0.18,9.03
1533.52,-1.87,-0.2,8.97
1533.8,-1.87,-0.19,8.97
1533.52,-1.91,-0.23,9.07
1533.9,-1.87,-0.2,8.99
1533.71,-1.89,-0.19,8.97
1533.32,-1.88,-0.16,8.89
1533.8,-1.94,-0.21,8.98
1533.71,-1.88,-0.23,8.91
1533.9,-1.85,-0.22,8.97
1533.52,-1.91,-0.2,9.0
1533.61,-1.89,-0.26,9.05
1533.8,-1.89,-0.22,9.05
1533.52,-1.85,-0.21,9.02
1534.19,-1.87,-0.21,9.09
1533.52,-1.92,-0.19,8.98
1533.9,-1.85,-0.21,8.98
1533.52,-1.9,-0.18,9.04
1532.85,-1.88,-0.21,9.01
1533.8,-1.89,-0.19,9.06
1533.9,-1.85,-0.18,9.01
1533.61,-1.83,-0.18,9.04
1532.85,-1.91,-0.23,8.94
1533.61,-1.9,-0.22,8.99
1533.61,-1.82,-0.24,9.06
1533.52,-1.85,-0.17,9.03
1533.23,-1.85,-0.2,9.02
1532.94,-1.83,-0.17,8.96
1533.71,-1.9,-0.23,8.99
1533.71,-1.83,-0.23,9.09
1533.8,-1.9,-0.24,9.04
1534.09,-1.88,-0.15,9.01
1533.61,-1.84,-0.2,9.05
1533.99,-1.86,-0.17,8.96
1533.32,-1.94,-0.18,9.0
1533.52,-1.91,-0.18,8.94
1533.9,-1.85,-0.22,9.03
1533.71,-1.86,-0.18,8.96
1533.61,-1.87,-0.22,9.09
1533.32,-1.89,-0.21,8.99
1533.32,-1.86,-0.23,9.02
1532.65,-1.87,-0.22,8.92
1533.8,-1.91,-0.23,9.1
1533.9,-1.83,-0.2,9.01
1533.32,-1.9,-0.18,9.02
1532.94,-1.88,-0.24,9.1
1533.23,-1.89,-0.23,9.03
1533.42,-1.87,-0.2,8.92
1533.71,-1.83,-0.14,9.02
1533.61,-1.86,-0.18,9.12
1534.19,-1.84,-0.19,9.05
1533.52,-1.87,-0.19,9.0
1533.32,-1.85,-0.23,8.93
1533.71,-1.87,-0.21,9.05
1533.61,-1.88,-0.21,8.98
1533.32,-1.9,-0.25,9.03
1533.42,-1.88,-0.22,8.98
1533.32,-1.9,-0.26,8.97
1533.61,-1.88,-0.15,9.12
1532.94,-1.9,-0.17,9.09
1533.52,-1.91,-0.2,8.92
1533.52,-1.89,-0.21,9.05
1533.71,-1.99,-0.24,9.02
1533.32,-1.87,-0.21,9.05
1533.23,-1.83,-0.24,9.03
1532.65,-1.94,-0.18,8.99
1533.61,-1.94,-0.21,9.07
1533.9,-1.9,-0.2,9.06
1533.71,-1.89,-0.18,9.12
1533.9,-1.9,-0.24,9.0
1534.09,-1.87,-0.15,9.07
1533.61,-1.83,-0.22,8.96
1534.19,-1.88,-0.21,9.01
1533.71,-1.87,-0.22,8.98
1532.94,-1.97,-0.23,8.94
1533.42,-1.89,-0.25,9.02
1533.52,-1.92,-0.23,9.02
1533.71,-1.87,-0.19,9.0
1533.52,-1.87,-0.2,9.05
1533.9,-1.87,-0.16,8.98
1533.61,-1.86,-0.24,9.05
1533.42,-1.87,-0.25,8.99
1533.32,-1.87,-0.17,9.03
1533.32,-1.89,-0.2,9.03
1534.09,-1.95,-0.18,9.05
1533.71,-1.92,-0.2,8.99
1533.13,-1.81,-0.23,9.03
1533.61,-1.9,-0.21,9.02
1533.32,-1.81,-0.17,9.0
1533.61,-1.85,-0.28,8.95
1533.71,-1.93,-0.19,8.97
1533.52,-1.94,-0.24,9.03
1533.42,-1.82,-0.21,8.94
1533.99,-1.88,-0.2,9.06
1533.71,-1.91,-0.2,9.05
1533.71,-1.85,-0.17,8.99
1533.42,-1.9,-0.22,9.06
1533.71,-1.9,-0.27,9.06
1533.42,-1.86,-0.23,9.04
1533.71,-1.91,-0.18,9.03
1533.42,-1.89,-0.22,8.91
1533.71,-1.89,-0.22,9.05
1533.8,-1.92,-0.21,8.97
1533.32,-1.8,-0.24,9.06
1533.61,-1.88,-0.23,8.97
1533.32,-1.95,-0.23,9.05
1533.61,-1.9,-0.25,8.99
1533.42,-1.88,-0.25,8.97
1533.13,-1.91,-0.23,8.96
1533.13,-1.86,-0.23,9.06
1533.42,-1.91,-0.18,9.04
1533.13,-1.88,-0.18,9.06
1533.52,-1.93,-0.23,8.97
1533.32,-1.92,-0.11,8.98
1533.61,-1.88,-0.21,9.04
1533.52,-1.91,-0.18,9.06
1533.32,-1.91,-0.19,9.03
1533.71,-1.92,-0.21,8.98
1533.8,-1.92,-0.2,8.97
1533.42,-1.93,-0.21,9.0
1533.8,-1.82,-0.2,8.97
1533.9,-1.93,-0.22,9.04
1533.42,-1.93,-0.17,9.04
1533.61,-1.88,-0.19,8.98
1533.32,-1.89,-0.23,8.98
1533.04,-1.86,-0.22,9.0
1532.56,-1.85,-0.22,8.98
1533.04,-1.9,-0.2,8.97
1533.32,-1.89,-0.26,9.04
1533.13,-1.91,-0.22,9.03
1533.42,-1.91,-0.24,9.08
1533.13,-1.9,-0.19,9.1
1532.94,-1.82,-0.25,9.11
1533.32,-1.89,-0.18,8.97
1533.99,-1.87,-0.23,9.03
1533.32,-1.86,-0.16,9.1
1533.9,-1.95,-0.23,9.0
1533.8,-1.83,-0.2,9.01
1533.8,-1.81,-0.18,9.08
1533.23,-1.83,-0.24,9.02
1533.32,-1.9,-0.18,9.1
1533.52,-1.92,-0.17,9.05
1534.09,-1.89,-0.22,9.05
1533.42,-1.86,-0.19,9.02
1533.32,-1.92,-0.21,8.97
1533.99,-1.96,-0.2,9.04
1533.52,-1.89,-0.18,9.0
1533.52,-1.87,-0.25,9.0
1533.32,-1.91,-0.19,9.05
1533.23,-1.89,-0.21,9.09
1532.75,-1.87,-0.17,8.88
1533.04,-1.92,-0.21,9.09
1533.23,-1.88,-0.25,9.1
1533.71,-1.86,-0.22,9.03
1533.13,-1.91,-0.23,9.02
1533.13,-1.89,-0.29,9.02
1533.13,-1.89,-0.23,9.0
1533.8,-1.82,-0.19,9.05
1533.32,-1.89,-0.22,9.07
1533.8,-1.91,-0.2,8.98
1532.94,-1.87,-0.18,9.11
1533.9,-1.92,-0.26,8.98
1533.61,-1.92,-0.21,9.04
1533.13,-1.89,-0.18,9.03
1532.85,-1.89,-0.2,9.02
1534.19,-1.86,-0.17,9.16
1533.42,-1.9,-0.26,9.07
1533.42,-1.88,-0.24,8.99
1533.71,-1.91,-0.23,8.98
1533.61,-1.87,-0.25,9.0
1534.47,-1.81,-0.19,9.02
1533.61,-1.93,-0.18,8.98
1533.9,-1.91,-0.22,9.0
1533.42,-1.87,-0.22,9.06
1533.9,-1.85,-0.16,9.08
1533.52,-1.88,-0.19,9.02
1533.23,-1.91,-0.24,9.03
1533.61,-1.92,-0.22,8.98
1533.42,-1.93,-0.2,9.03
1533.42,-1.81,-0.27,9.07
1533.23,-1.93,-0.28,8.88
1533.04,-1.87,-0.14,8.96
1533.32,-1.92,-0.21,9.06
1533.9,-1.96,-0.18,9.03
1533.8,-1.86,-0.22,9.01
1533.42,-1.9,-0.19,8.98
Altitude,ax,ay,az
1533.61,-1.89,-0.22,9.0
